a	ⴰ
scattered	ⵢⴻⵣⵣⵓⵣⴻⵔ
scene	ⵉⵎⴻⵥⵔⵉ
scenery	ⵉⵎⴻⵥⵔⵉ ⵏ ⵜⴻⵎⴷⵉⵏⵜ
scent	ⵜⴰⴼⴻⵏⴷⴰ
schedule	ⵜⴰⴼⴰⴷⴰ
schedule	ⵢⴻⵜⵡⴰⵀⴻⴳⴳⴰ
school	ⴰⵖⴻⵔⴱⴰⵣ
science	ⵜⵓⵙⵙⵏⴰ
scientist	ⴰⵎⵓⵙⵏⴰⵡ
scientists	ⵉⵎⵎⵓⵙⵏⴰⵡⴻⵏ
scissors	ⵜⵉⵎⴻⴷⵢⴰⵥ
scold	ⵢⴻⵏⵏⵓⵖ
scope	ⴰⵃⵔⵉⵛ
score	ⵓⴳⵎⵓⴹ
scrap	ⴰⵇⴰⴹ
scratch	ⵉⵅⴻⴱⵛⴻⵏ
scream	ⵉⵙⵓⵖ
screen	ⴰⴳⴷⵉⵍ
screw	ⵜⴻⴼⵙⵉⴹ
script	ⵙⵉⵏⴰⵕⵢⵓ
sea	ⵉⵍⴻⵍ
seal	ⵜⴰⴼⵓⵢⵜ
search	ⴰⵏⴰⴷⵉ
season	ⵜⵙⴻⵎⵀⵓⵢⵜ
seat	ⴰⵎⴽⴰ
second	ⵡⵉⵙ ⵙⵉⵏ
secret	ⵙⵙⴻⵔ
section	ⴰⵖⴻⵍⵍⴰ
secure	ⵢⵓⵎⴻⵏ
security	ⵍⴰⵎⴰⵏ
see	ⵣⴻⵔ
see you	ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ
see you later	ⴰⵔ ⵜⵉⵛⴽⵉ
see you soon	ⴰⵔ ⵜⵉⵛⴽⵉ
see you tomorrow	ⴰⴷ ⵏⴻⵎⵍⵉⵍ ⴰⵣⴻⴽⴰ
seed	ⵣⵔⴻⵄ
seek	ⵏⴰⴷⵉ
seem	ⴰⵎⵣⵓⵏ
seems	ⴰⵎ ⴰⴽⴽⴻⵏ
seen	ⵉⵡⴰⵍⴰ
seize	ⵉⵛⴻⵍⵇⴻⴼ
seizure	ⵜⵓⵎⵣⴰ
seldom	ⴷⵔⵓⵙ
select	ⵢⴻⵅⵜⴰⵔ
self	ⵉⵎⴰⵏⵯⵉⴽ
self healing	ⵜⵓⵊⵢⴰ ⵉⵎⴰⵏⵯⵉⵙ
selfish	ⴷ ⵉⵎⴻⵏⵣⴰⵢⴻⵏ
sell	ⵣⵣⴻⵏⵣⴻⵖ
send	ⵛⴻⴳⴳⴻⵄ
send me your picture	ⵛⴻⵢⵢⴻεⵯⵉⵢⵉⵯⴷ ⵜⴰⵡⵍⴰⴼⴻⵜⵯⵉⴽ
senior	ⴰⵎⵖⴰⵔ
sense	ⴰⵏⴰⵎⴻⴽ
sensible	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ
sensitive	ⵢⴻⵜⵜⵃⵓⵍⴼⵓ
sent	ⵛⴻⴳⴳⴻⵄ
sentence	ⵜⴰⴼⵢⵉⵔⵜ
sentences	ⵜⵉⴼⵢⴰⵔⵉⵏ
separate	ⵎⵙⴻⴱⴹⴰ
Sepedi	ⵙⴱⴻⴷⵉ
september	ⵛⵜⴻⵎⴱⴻⵔ
sequence	ⴰⵎⵏⴰⴽⴻⵍ
series	ⴰⵎⴰⵣⵔⴰⵔ
serious	ⵉⵛⵇⵇⴰⵏ
seriously	ⵙ ⵜⵉⴷⴻⵜ
serve	ⵇⴷⴻⵎ
service	ⴰⵙⴻⵇⴷⴻⵛ
session	ⵜⵉⵎⵍⵉⵍⵉⵜ
set	ⵄⴻⵍ
set up	ⵜⵓⴷⴷⵙⴰ
setting	ⴰⵖⵡⴰⵔ
settle	ⴰⵙⴻⴳⴳⴻⵎ
seven	ⵚⴰ
seventeen	ⵎⵔⴰⵡ ⴷ ⵚⵚⴰ
seventy	ⵚⵚⴰ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
several	ⴰⵟⴰⵙ
severe	ⵥⵥⴰⵢⴻⵏ
sew	ⴰⵙⴻⵍⴽⵉⵎ
sh	ⵙⵛ
shade	ⵜⵉⵍⵉ
shadow	ⵜⵉⵍⵉ
shake	ⵅⴻⵎⵎⵙⴻⵖ
shall	ⴰⴷ
shallow	ⵓⵔ ⴷⵯⵢⴻⵣⵣⵉ
shame	ⴰⵏⵥⵓⵍ
shape	ⵜⴰⵍⵖⴰ
share	ⵜⴰⵙⴳⴰ
sharp	ⵢⴻⵇⵇⵓⵔ
she	ⵏⴻⵜⵜⴰⵜ
she has	ⵜⴻⵙεⴰ
she is	ⴷ ⵜⵉⴷⴻⵜ
shed	ⵍⵎⴻⵇⵙⵓⴷ
sheep	ⵉⵣⵉⵎⴻⵔ
sheet	ⵜⵉⴼⴻⵔⵢⵉⵏ
shelf	ⵜⴰⵔⴻⴼⴼⵉⵜ
shell	ⵜⴰⴽⴽⵓⵏⵜ
shelter	ⵜⴰⵙⴻⴷⴷⴰⵔⵉⵜ
shield	ⴰⵙⴻⴳⴷⴻⵍ
shift	ⵉⴱⴻⴷⴷⴻⵍ
shine	ⴰⴼⴻǧǧⴻǧ
ship	ⵍⴱⴰⴱⵓⵔ
shipping	ⴰⵙⴻⵔⴻⴼ
shirt	ⵜⵜⵔⵉⴽⵓ
shoes	ⵉⵙⴻⴱⴱⴰⴹⴻⵏ
shoot	ⵇⴻⵔⵔⴻⵙ
shop	ⵜⴰⵃⴰⵏⵓⵜ
shopping	ⴰⴷ ⵢⴻⵇⴹⵓ
shore	ⵜⴻⴼⵙⵉⵔⵜ
short	ⵡⴻⵣⵣⵉⵍ
shortage	ⵍⴻⵅⵚⴰⵚ
shot	ⵇⴻⵔⵔⵙⴻⴹ ⵙ ⵓⴱⴻⵛⴽⵉⴹ
should	ⵉⵇⵇⴰⵏ
shoulder	ⵜⵓⵢⴰⵜ
shout	ⵍⴻⵄⵢⴰⴹ
show	ⵢⴻⵎⵍⴰⵯⵉⵢⵉⵯⴷ
show me	ⵙⴽⴻⵏⵯⵉⵢⵉⵯⴷ
shower	ⵜⴰⵛⵓⵛⴰⴼⵜ
shrimp	ⵍⵇⴻⵎⵕⵓⵏ
shrink	ⴰⵙⵓⴷⴷⴻⵙ
shut	ⵎⴷⴻⵍ
shut up	ⵙⵙⵓⵙⴻⵎ
shy	ⵢⵙⴻⵜⵃⴰ
sibling	ⴰⵜⵎⴰⵜⴻⵏ
siblings	ⴰⵜⵎⴰⵜⴻⵏ
sick	ⵢⵓⴹⴻⵏ
side	ⵓⴷⴻⵎ
sigh	ⵏⵏⴻⵀⵜⴰ
sight	ⵜⵎⵓⵖⵍⵉ
sightseeing	ⴰⵙⴰⴽⴰⵛ
sign	ⴰⵣⴰⵎⵓⵍ
signature	ⴰⵣⵎⴰⵍ
significant	ⵢⴻⵜⵜⴱⴰⵏ
silence	ⵜⴰⵙⵓⵙⴻⵎⵉ
silent	ⵜⴰⵙⵓⵙⵎⵉ
silk	ⴰⵃⵔⵉⵔ
silly	ⴷ ⴰⵎⴻⵀⴱⵓⵍ
silver	ⴰⵥⵔⴻⴼ
similar	ⴰⵎ ⵡⴰ
simp	ⴰⴼⵔⴰⵔⴰⵢ
simple	ⵉⵙⴻⵍⵀⴻⵏ
simultaneously	ⵙ ⵜⴷⵓⴽⵍⵉ
since	ⵙⴻⴳ ⵡⴰⵙⴻⵎⵉ
sincere	ⵙ ⵡⵓⵍ ⵢⴻⵚⴼⴰⵏ
sincerely	ⵙ ⵡⵓⵍ ⵢⴻⵚⴼⴰⵏ
sing	ⵛⵏⵓ
singer	ⴰⵛⴻⵏⴰⵢ
single	ⵢⵉⵡⴻⵏ
sink	ⵉⵣⴻⴷⴷⴻⵔ
Sir	ⵎⴰⵙⵙ
sister	ⵓⵍⴻⵜⵎⴰ
sister in law	ⵢⴻⵍⵍⵉⵙ ⵓⴷⴻⴳⴳⴰⵍ
sit	ⵇⵇⵉⵎ
site	ⴰⵎⴽⴰⵏ
situation	ⵜⴰⵍⵖⴰ
six	ⵙⴹⵉⵙ
sixteen	ⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ
sixty	ⵙⴹⵉⵙ ⵏ ⵜⵎⴻⵔⵡⵉⵏ
size	ⴰⵛⵃⴰⵍ ⴰⵢ ⵜⴻⵜⵜⵍⵓⵙⵓⴹ
skill	ⴰⵥⵡⴰⵔ
skills	ⵜⵉⵣⴻⵎⵔⵉⵏ
skin	ⴰⴳⵍⵉⵎ
skinny	ⵢⴻⴹⵄⴻⴼ
skip	ⴰⵙⴳⴻⵜ
skirt	ⵜⴰⵛⵓⵛⵜ
sky	ⵉⴳⴻⵏⵏⵉ
slave	ⴰⵇⴻⴷⴷⴰⵛ
sleep	ⵉⴳⴻⵏ
sleeping	ⵉⴹⴻⵙ
sleepy	ⵢⴻⵙⴳⴰⵏⴰⵢ
sleeve	ⵉⴼⴰⵙⵙⴻⵏ
slice	ⴰⵃⴻⵔⵔⵉⴼ
slice	ⴳⵣⴻⵎ
slide	ⵓⵛⵛⵓⴹ
slightly	ⵛⵡⵉⵟ
slim	ⵜⴻⴹⵄⴻⴼ
slip	ⵛⵛⴹⴻⵖ
slope	ⵜⴰⵙⴰⵡⴻⵏⵜ
slot	ⴰⴱⵔⵓⵊ
slow	ⵙ ⵜⵜⴰⵡⵉⵍ
slowly	ⵙ ⵜⵜⴰⵡⵉⵍ
small	ⵎⴻⵞⵜⵓⵃ
smart	ⵓⵃⵔⵉⵛ
smell	ⵙⵙⵏⴰⵏ
smile	ⵣⵎⵓⵎⵎⴻⴳ
smoke	ⴰⵡⵡⵓ
smooth	ⵢⴻⴳⵙⵓⵙ
snack	ⵜⴰⵏⴰⵍⵜ
snail	ⴰⵊⴻⵖⵍⴰⵍ
snake	ⴰⵣⵔⴻⵎ
snap	ⵙⵟⴻⵔⴹⵇⴻⵖ
snow	ⴰⴷⴼⴻⵍ
so	ⵉⵀⵉ
so cute	ⴷ ⴰⵢⴻⵏ ⵉⵛⴻⴱⵃⴻⵏ
so far	ⴰⵔ ⵜⵓⵔⴰ
soak	ⵙⴻⵍⵅⴻⵙ
soap	ⵚⵚⴰⴱⵓⵏ
sober	ⵜⴻⵙεⴰ ⵜⴰⵣⵎⴻⵔⵜ
soccer	ⵜⴰⴽⵓⵔⵜ ⵏ ⵓⴹⴰⵔ
social	ⵜⵎⴻⵜⵜⵉ
society	ⵜⵎⴻⵜⵜⵉ
socks	ⵉⵇⴰⵛⵉⵔⴻⵏ
soft	ⴰⵍⴻⵇⵇⴰⵇ
software	ⴰⵙⴻⵖⵥⴰⵏ
soil	ⴰⴽⴰⵍ
sold	ⵢⴻⵣⵣⴻⵏⵣ
sold out	ⵢⴻⵏⵣⴰ
soldier	ⴰⵙⴻⵔⴷⴰⵙ
sole	ⵉⵎⴰⵏ
solid	ⴰⵏⴰⵣⴱⴰⵢ
solution	ⵜⵉⴼⵔⴰⵜ
solve	ⴼⵔⵓ
some	ⴽⵔⴰ
somebody	ⵃⴻⴷ
somehow	ⵙ ⴽⵔⴰ ⵏ ⵜⴰⵔⵔⴰⵢⵜ
someone	ⵢⵉⵡⴻⵏ
something	ⴽⵔⴰ
sometimes	ⵜⵉⵙⵡⵉⵄⵉⵏ
song	ⵜⵉⵣⵍⵉⵜ
soon	ⵇⵔⵉⴱ
sophisticated	ⵢⴻⵙⵄⴰⵏ ⵜⵉⵣⵎⵎⴰⵔ
Sorani	ⵙⵓⵔⴰⵏⵉ
sore	ⴷⵉⵔ
sore throat	ⵢⵓⴹⴻⵏ ⵜⴰⵖⴻⵛⵜⵯⵏⵏⴻⵙ
sorrow	ⵍⴻⵃⵣⴻⵏ
Sorry	ⵙⵓⵔⴻⴼⵯⵉⵢⵉ
sort	ⵚⵚⴻⵏⴼ
sought	ⵢⴻⵜⵜⵏⴰⴷⵉⵏ
soul	ⵜⴰⵔⵡⵉⵃⵜ
soulmate	ⵜⴰⵎⴻⴷⴷⵓⵔⵜ ⵏ ⵜⴻⵔⵡⵉⵃ
sound	ⵜⴰⵖⴻⵛⵜ
soup	ⴰⵙⴻⵇⵇⵉ
sour	ⵜⴻⵙⵎⴻⵎ
source	ⴰⵖⴱⴰⵍⵓ
south	ⴰⵏⵥⵓⵍ
space	ⵍⵉⵜⵙⴻⵄ
spam	ⴰⵙⴻⵍⴽⵉⵎ
span	ⴰⴳⴳⴰⵢ
Spanish	ⵍⵉⵙⵒⴰⵏ
spare	ⵓⴼⴼⴻⵔ
speak	ⵎⵎⴻⵙⵍⴰⵢ
special	ⵉⵥⵍⵉⵏ
species	ⵙⴻⵔⴼ
specific	ⴷ ⵜⵉⵏ ⵏ
spectacular	ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ
speech	ⴰⵡⴰⵍ
speechless	ⵢⴻⴳⵓⴳⴻⵎ
speed	ⵍⴻⵎⵖⴰⵡⵍⴰ
spell	ⴰⵎⴻⵙⵍⴰⵢ
spend	ⵢⴻⵙⵙⵣⵅⴷⴰⵎⴻⵏ
spent	ⵢⵙⴻⵔⵔⴻⴼ
spicy	ⴰⵇⴻⵔⵃⴰⵏ
spike	ⵜⴰⵙⴱⵓⵍⵜ
spin	ⵜⵜⴻⵍⵎⴻⵖ
spinach	ⵜⵉⴱⵉⴷⴻⵙⵜ
spirit	ⵜⴰⵕⵡⵉⵃⵜ
spit	ⵙⵓⵙⴻⴼ
splendid	ⵢⴻⵙⵡⴻⵀⴰⵎⴻⵏ
split	ⵎⵙⴻⴱⴹⴰⵏ
spoil	ⵉⵅⴻⵚⵚⴻⵔ
spoiled	ⵉⵅⴻⵚⵚⴻⵔ
spontaneous	ⴷ ⵜⵉⵏ ⵓⵔ ⵏⴻⵜⵜⵡⴰⵃⵡⴰǧ
spoon	ⵜⴰⵖⴻⵏⵊⴰⵢⵜ
spot	ⴰⵎⴽⴰⵏ
spouse	ⴰⵔⴳⴰⵣ
spread	ⴰⵎⵢⴰⴳ
spring	ⵜⴰⴼⵙⵓⵜ
square	ⴰⵎⴽⵓⵥ
squeeze	ⴰⴷ ⵥⵥⵎⴻⵖ
squid	ⴰⵇⴻⵔⵏⵉⴹ
squirrel	ⴰⵏⵥⵉⴷ
st	ⴰⴳⴻⵔⵔⴰⵎ
stab	ⵙⴻⵏⵜⵓ
stable	ⵉⵎⵏⴻⴽⴰⵢⴻⵏ
stack	ⴰⴳⵓⴷⵉ
staff	ⵜⴰⵔⴱⴰⵄⵜ
stage	ⴰⵙⵓⵔⵉⴼ
stain	ⴰⵛⴰⵎⵉⴹ
stairs	ⵉⵙⵓⵏⴰⵏ
stake	ⵜⴳⴻⵊⴷⵉⵜ
stalk	ⴰⴳⴻⵟⵟⵓⵎ
stall	ⴰⵙⴻⵏⵙⴻⵔ
stamp	ⴰⵖⴹⴻⵎ
stand	ⴰⵜⴻⴳ
standard	ⴰⵎⵙⵍⵓⴳⴰⵏ
star	ⵉⵜⵔⵉ
start	ⴱⴷⵓ
started	ⵢⴻⴱⴷⴰ
starving	ⵍⴰⵥ
state	ⵉⵡⵓⵏⴰⴽ
state	ⴰⴷⴷⴰⴷ
state	ⵙⴽⴻⵏ
statement	ⴰⵀⴻⵏⵏⴰ
station	ⵜⴻⵖⵙⴻⵔⵜ
statue	ⴰⵙⴻⴱⴷⴰⴷ
status	ⵜⴰⵍⵖⴰ
stay	ⵇⵇⵉⵎ
stay safe	ⵃⴰⴷⴻⵔ ⵉⵎⴰⵏⵯⵉⴽ
steady	ⵜⴻⵔⴽⵉⴷ
steak	ⴱⵉⴼⵜⴰⴽ
steal	ⵢⵓⴽⴻⵔ
steam	ⴷⴻⵅⵅⴰⵏ
steel	ⴷⴽⵉⵔ
steep	ⵢⴳⴰⵏ
stem	ⵍⴻⵊⴷⵔⴰ
step	ⴰⵙⵓⵔⵉⴼ
stick	ⵄⴻⵍⵍⴻⵇ
stiff	ⵢⴻⵇⵇⵓⵔ
still	ⵢⴻⵔⵙⴰ
still	ⵎⴰⵣⴰⵍ
sting	ⵜⵓⵇⵙⴰ
stingy	ⴰⵎⴻⵛⵃⴰⵃ
stir	ⵙⴻⵏⵀⴻⵣ
stock	ⵍⵄⴻⵡⵍⴰ
stolen	ⵢⴻⵜⵡⴰⴽⴻⵔⵯⴷ
stomach	ⴰⵄⴻⴱⴱⵓⴹ
stone	ⴰⴱⵍⴰⵟ
stood	ⵉⴱⴻⴷⴷ
stool	ⵜⴰⴱⴻⵔⴷⵓεⵜ
stop	ⵃⴻⴱⵙⴻⵜ
storage	ⴰⵙⴻⵅⵣⴻⵏ
store	ⵜⴰⵃⴰⵏⵓⵜ
storm	ⴰⴹⵓ
story	ⵜⴰⵎεⴰⵢⴻⵜ
stove	ⵍⴽⴰⵏⵓⵏ.
straight	ⵙⵔⵉⴷ
straightforward	ⵙⵔⵉⴷ
strain	ⵙ ⵢⵉⵖⵉⵍ
strange	ⴰⴱⴻⵕⵕⴰⵏⵉ
stranger	ⴰⴱⴻⵕⵕⴰⵏⵉ
strategy	ⵜⴰⵙⵓⴷⴻⵙⵜ
straw	ⴰⵍⵉⵎ
strawberry	ⵜⵉⵎⴻⵔⵣⵉⵡⵜ
streak	ⴰⴼⴻⵔⵔⵓⴳ
stream	ⴰⴼⴻⴳⴳⴹ
street	ⴰⴱⵔⵉⴷ
strength	ⵍⴻⴳⴳⴷⴻⵔ
stress	ⵢⴻⵜⵇⴻⵍⵍⴻⵇ
stretch	ⵙⴻⵖⵣⴻⴼ
strict	ⵜⴻⵙⵙⴻⵃⵔⴰⵙ
strike	ⵜⴰⴳⵔⴰⵡⵍⴰ
string	ⴰⵎⵔⴰⵔ
strip	ⴰⴽⴻⵔⵣⵉ
strive	ⵜⴻⵜⵜⴻⴳ
stroke	ⵜⴰⵣⵖⵉⵏⵜ
strong	ⵢⴻⴵⵀⴻⴷ
struck	ⵜⵡⴻⵜⵯⵉⵜⵜ
structure	ⵍⴻⴱⵏⴰⵢⴰⵏ
struggle	ⵢⴻⵏⵏⵓⵖ
struggling	ⵢⴻⵜⵏⴰⵖ
stubborn	ⵢⴻⵜⵄⴰⵏⴰⴷ
stuck	ⵢⴻⵍⵙⴻⵇ
student	ⴰⵏⴻⵍⵎⴰⴷ
study	P ⵙⴻⴱⵔⵓⵔⴻⵣ
studying	ⵍⴻⵇⵔⴰⵢⴰ
stuff	ⵍⴻⵃⴰⴵⴰ
stunning	ⴰⵥⵟⵟⴰ
stupid	ⴰⵄⴻⴳⴳⵓⵏ
style	ⴰⵖⴰⵏⵉⴱ
subject	ⴰⵙⵙⴰⴽⴰ
submission	ⴰⵙⴻⴽⵛⴻⵎ
submit	ⴰⵙⴻⴱⵜⴻⵔ
substance	ⴰⵙⴳⴻⵜ
substitute	ⴰⵙⴱⴷⴻⵍ
subtle	ⴷ ⵜⵉⴼⴻⵔⴽⵉⵡⵉⵏ
succeed	ⵢⴻⵔⴱⴻⵃ
success	ⵔⵔⴱⴻⵃ
successful	ⵔⴱⴻⵃ
such	ⴰⵎ
such as	ⴰⵎ
suck	ṭṭed
sudden	ⵉⵎⵉⵔⴻⵏ
suddenly	ⴷⴻⴳ ⵢⵉⵡⴻⵜ ⵏ ⵜⴻⵙⵡⵉⵄⵜ
suffer	ⵜⵜⵃⵓⵣⴰⵏ
suffering	ⵢⴻⵏⵄⴻⵜⵜⴰⴱ
sufficient	ⴷⴷⴻⴳⵙ
sugar	ⵙⵙⴻⴽⴻⵕ
suggest	ⵙⵙⵓⵍⴻⵔ
suggestion	ⵜⴰⴽⵜⵉ
suit	ⵢⴻⵍⵙ
suitable	ⵢⴻⵙⵙⵣⴼⴽⴻⵏ
suitcase	ⵜⴱⴰⵍⵉⵣⵜ
sum	ⵜⵉⵎⴻⵔⵏⵉ
summary	ⴰⴳⵣⵓⵍ
summer	ⴰⵏⴻⴱⴷⵓ
summit	ⵜⴰⵇⴻⵔⵔⵓⵢⴻⵜ
sun	ⵉⵟⵉⴳ
sunday	ⴰⵛⴻⵔ
sunny	ⵉⵜⵉⵊ
sunset	ⴰⴼⵓⴷ ⵏ ⵢⵉⵟⵉⵊ
sunshine	ⵜⴰⴼⵓⴽⵜ
super	ⵢⴻⵍⵀⴰ
superior	ⴰⵏⴰⴼⵍⵍⴰ
supervisor	ⴰⵎεⴻⵍⵍⴻⵎ
supper	ⵢⴳⴻⵔⵔⴻⵣ
supply	ⵢⴻⵜⵜⴰⴽ
support	ⴰⵍⵍⴻⵍ
suppose	ⴰⴷ ⴷⵯⵏⵉⵏⵉ
supposed	ⵉⵍⴰⵇ ⴰⴷ ⵢⵉⵍⵉ
sure	ⵉⴱⴰⵏ
surface	ⵜⴰⵀⵔⵉ
surge	ⴰⴳⵍⴰⵢ
surgery	ⵜⴰⵎⵣⴻⵍⵜ
surname	ⵏⴻⴽⵡⴰ
surprise	ⵖⴻⴼ ⵍⵖⴻⴼⵍⴰⵏ
surprised	ⵢⴻⵡⵀⴻⵎ
surrender	ⵙⴻⵍⵍⴻⵎ
surrounding	ⵜⵓⵣⵢⴰ
surveillance	ⴰⵙⴻⴼⵇⴻⴷ
survey	ⵙⴽⴻⵢⴷⴻⵖ
survive	ⴰⴷ ⵢⵉⴷⵉⵔ
suspect	ⵢⵛⵓⴽ
suspended	ⵢⴻⵜⵜⵡⴰⵃⴱⴻⵙ
suspicious	ⵊⴻⵜⵜⵛⵉⴽⴽⵉ
sustain	ⵙⴻⵀⴱⵉⴱⴻⵔ
sustainability	ⴰⵙⵓⴷⴷⴻⵎ
sustainable	ⴷ ⴰⵢⴻⵏ ⵢⴻⵜⵜⵡⴰⵃⴻⵔⵣⴻⵏ
swag	ⴰⴳⵍⴰⴼ
swallow	ⵉⵙⵙⴻⴱⵍⴻⵄ
swap	ⴱⴻⴷⴷⴰⵍ
swear	ⵢⴻⴳⴳⵓⵍ
sweat	ⵜⵉⴷⵉ
sweater	ⴰⵜⵔⵉⴽⵓ
sweep	ⴼⴻⵔⵔⴹⴻⵖ
sweet	ⵣⵉⴹ
sweet dreams	ⵜⵉⵔⴳⴰ ⵍεⴰⵍⵉ
sweet tooth	ⵜⴰⵥⵉⴷⴰⵏⵜ
sweetheart	ⴰⵢ ⴰⵃⴱⵉⴱ
swell	ⴰⵙⴻⴼⵜⵉ
swelling	ⵜⵉⵎⴻⵔⵏⵉⵡⵜ
swim	ⵙⵓⵛⵛⴻⴼ
swimming	ⵢⴻⵜⵄⵓⵎⵓ
swing	ⴱⵍⴻⵍⵍⵉ
switch	ⴱⴻⴷⴷⴻⵍ
swollen	ⵙⵙⵓⴼ
sword	ⴰⵊⴻⵏⵡⵉ
symbol	ⴰⵣⴰⵎⵓⵍ
sympathy	ⵍⵖⵉⴹ
symptoms	ⴰⵙⴽⴻⵏ
system	ⴰⵏⴰⴳⵔⴰⵡ
table	ⵜⴰⴷⴰⴱⵓⵜ
tackle	ⴰⵎⵓ
tag	ⵜⵉⴱⵣⵉⵎⵉⵏ
tail	ⴰⵊⴻⵃⵏⵉⴹ
take	ⴰⵡⵉ
take away	ⴰţⵟⴻⴼ ⴰⴱⵔⵉⴷ
take care	ⵃⴰⴷⴻⵔ ⵉⵎⴰⵏⵯⵉⴽ
take off	ⴽⴽⴻⵙ
taken	ⵢⴻⵜⵜⵡⴰⴽⴽⴻⵙ
talk	ⵙⴰⵡⴻⵍ
talkative	ⴰⵎⵙⵓⴳⴻⵜ
tall	ⴽⴻⵎⵎⵉⵍ
Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ
tap	ⴷⴷⴻⵙ
tap	ⵜⴰⵙⴰⴷⴻⵍⵜ
tap	ⴰⵔⴰⵜⵉⵎ
tape	ⴰⴽⴰⵍⴰⵙ
target	ⵃⴻⴽⴽⴻⵔ
task	ⵛⵛⵖⴻⵍ
taste	ⵄⴱⴻⵔ
tasty	ⴱⵏⵉⵏ
taught	ⵢⴻⵙⵙⴻⵍⵎⴰⴷ
tea	ⵍⴰⵜⴰⵢ
teach	ⴰⵙⴻⵍⵎⴻⴷ
teacher	ⴰⵙⴻⵍⵎⴰⴷ
team	ⵜⴰⵔⴱⴰⵄⵜ
tear	ⴰⴳⴻⵣⴰⵎ
tears	ⵉⵎⴻⵟⵟⴰⵡⴻⵏ
tease	ⴰⴷ ⵜⵯⵜⵛⴻⵖⵍⴻⴹⵍ
technology	ⵜⴻⴽⵏⵓⵙⵙⵏⴰ
teeth	ⵜⵓⵖⵎⴰⵙ
tell	ⵉⵏⵉⵯⴷ
tell me	ⵉⵏⵉⵯⴷ
temper	ţⴱⵉεⴰ
temperature	ⵜⴰⵥⵖⴻⵍⵜ
temple	ⵍⴻⵎⵇⴰⵎ
temporary	ⴰⵎⴻⵜⵜⵉ
ten	ⵎⵔⴰⵡ
ten thousand	ⵎⵔⴰⵡ ⵏ ⵉⴳⵉⵎⴰⵏ
tenant	ⴰⴽⴻⵔⴰⵢ
tend	ⵢⴻⵙⵄⴰⵏ
tendency	ⵜⵉⵖⵓⵎⴷⵉⵏ
tender	ⵍⴻⵃⵏⴰⵏⴰ
tense	ⵢⴻⵜⵇⴻⵍⵍⴻⵇ
tension	ⵍⵃⵉⵔ
tent	ⴰⵇⵉⴹⵓⵏ
tentative	ⵜⴰⵡⵙⴻⵙⵜ
term	ⴰⵡⴰⵍ
terms	ⵉⵎⴻⵙⵍⴰⵢⴻⵏ
terrible	ⵢⴻⵙⵙⵣⵡⵀⴰⵎⴻⵏ
terrific	ⴰⵛⴻⴽⴽⵉⵜ
territory	ⵜⴰⵎⵏⴰⴹⵜ
test	ⴰⴽⴰⵢⴰⴷ
test	ⵢⴻⵄⵔⴻⴹ
text	ⴰⴹⵔⵉⵙ
than	ⵜⴰⵏⵢⴰ
thank	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ
thank you	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ
Thank you for your patience while we investigate shipment	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⵖⴻⴼ ⵙⴱⴻⵔⵯⵏⵡⴻⵏ ⵙⴽⵓⴷ ⵏⴻⵜⵙⴻⵇⵙⴰⵢ ⵖⴻⴼ ⵜⵓⵍⵓⵙⵜⵯⵏⵏⵉ
thank you so much	ⵜⴰⵏⵎⵉⵔⵜⵯⵉⴽ ⴰⵟⴰⵙ
thank you very much	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⴰⵟⴰⵙ
thanks	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ
Thanks for using our app	ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⵉⵎⵉ ⵙⴻⵇⴷⴰⵛⴻⵜ ⴰⵙⵍⴰⵖⵯⵏⵏⴻⵖ
that	ⵡⵉⵀⵉⵏ
that is	ⴷ ⵡⴰ ⵉ ⴷ
that's good	ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ
the	ⵜ
theft	ⵜⵉⴽⵓⵔⴹⴰ
their	ⵏⵯⵙⴻⵏ
them	ⴰⵙⴻⵏ
theme	ⴰⵙⴻⵏⵜⴻⵍ
themselves	ⵉⵎⴰⵏⵯⵏⵙⴻⵏ
then	ⵉⵀⵉ
theory	ⴰⵙⴻⴽⴽⵓⴹ
there	ⴷⵉⵏⵏⴰ
there are	ⴻⵍⵍⴰⵏ
there is	ⵢⴻⵍⵍⴰ
therefore	ⵉⵀⵉ
these	ⵡⵉⴳⵉ
they	ⵏⵓⵜⴻⵏⵉ
they are	ⴰⵜⵏⴰⵏ
thick	ⵣⵀⵓⵔ
thief	ⴰⵎⴰⴽⴰⵔ
thigh	ⵜⴰⵎⴻⵙⵙⴰⴹⵜ
thin	ⵜⴰⵣⴰⵢⵜ
thing	ⵜⴰⵖⴰⵡⵙⴰ
