ⴰ	a
ⵙⵙⴻⵔⵙ ⵖⴻⴼ ⵓⵎⵉⵣⴰⵏⵯⴰ	scale
ⴰⴷⴻⵔⵔⴻⵃ	scam
ⵛⵛⴰⵎⴰ	scar
ⵉⵎⵉⴷⵔⵓⵙ	scarce
ⵢⵓⴳⴰⴷ	scared
ⴰⴽⴻⵔⵣⵉ	scarf
ⵢⴻⵙⵙⴻⵅⵍⴰⵄⴻⵏ	scary
ⵢⴻⵣⵣⵓⵣⴻⵔ	scattered
ⵉⵎⴻⵥⵔⵉ	scene
ⵉⵎⴻⵥⵔⵉ ⵏ ⵜⴻⵎⴷⵉⵏⵜ	scenery
ⵜⴰⴼⴻⵏⴷⴰ	scent
ⵢⴻⵜⵡⴰⵀⴻⴳⴳⴰ	schedule
ⵜⴰⴼⴰⴷⴰ	schedule
ⴰⵖⴻⵔⴱⴰⵣ	school
ⵜⵓⵙⵙⵏⴰ	science
ⴰⵎⵓⵙⵏⴰⵡ	scientist
ⵉⵎⵎⵓⵙⵏⴰⵡⴻⵏ	scientists
ⵜⵉⵎⴻⴷⵢⴰⵥ	scissors
ⵢⴻⵏⵏⵓⵖ	scold
ⴰⵃⵔⵉⵛ	scope
ⵓⴳⵎⵓⴹ	score
ⴰⵇⴰⴹ	scrap
ⵉⵅⴻⴱⵛⴻⵏ	scratch
ⵉⵙⵓⵖ	scream
ⴰⴳⴷⵉⵍ	screen
ⵜⴻⴼⵙⵉⴹ	screw
ⵙⵉⵏⴰⵕⵢⵓ	script
ⵉⵍⴻⵍ	sea
ⵜⴰⴼⵓⵢⵜ	seal
ⴰⵏⴰⴷⵉ	search
ⵜⵙⴻⵎⵀⵓⵢⵜ	season
ⴰⵎⴽⴰ	seat
ⵡⵉⵙ ⵙⵉⵏ	second
ⵙⵙⴻⵔ	secret
ⴰⵖⴻⵍⵍⴰ	section
ⵢⵓⵎⴻⵏ	secure
ⵍⴰⵎⴰⵏ	security
ⵣⴻⵔ	see
ⴰⵔ ⵜⵉⵎⵍⵉⵍⵉⵜ	see you
ⴰⵔ ⵜⵉⵛⴽⵉ	see you later
ⴰⵔ ⵜⵉⵛⴽⵉ	see you soon
ⴰⴷ ⵏⴻⵎⵍⵉⵍ ⴰⵣⴻⴽⴰ	see you tomorrow
ⵣⵔⴻⵄ	seed
ⵏⴰⴷⵉ	seek
ⴰⵎⵣⵓⵏ	seem
ⴰⵎ ⴰⴽⴽⴻⵏ	seems
ⵉⵡⴰⵍⴰ	seen
ⵉⵛⴻⵍⵇⴻⴼ	seize
ⵜⵓⵎⵣⴰ	seizure
ⴷⵔⵓⵙ	seldom
ⵢⴻⵅⵜⴰⵔ	select
ⵉⵎⴰⵏⵯⵉⴽ	self
ⵜⵓⵊⵢⴰ ⵉⵎⴰⵏⵯⵉⵙ	self healing
ⴷ ⵉⵎⴻⵏⵣⴰⵢⴻⵏ	selfish
ⵣⵣⴻⵏⵣⴻⵖ	sell
ⵛⴻⴳⴳⴻⵄ	send
ⵛⴻⵢⵢⴻεⵯⵉⵢⵉⵯⴷ ⵜⴰⵡⵍⴰⴼⴻⵜⵯⵉⴽ	send me your picture
ⴰⵎⵖⴰⵔ	senior
ⴰⵏⴰⵎⴻⴽ	sense
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	sensible
ⵢⴻⵜⵜⵃⵓⵍⴼⵓ	sensitive
ⵛⴻⴳⴳⴻⵄ	sent
ⵜⴰⴼⵢⵉⵔⵜ	sentence
ⵜⵉⴼⵢⴰⵔⵉⵏ	sentences
ⵎⵙⴻⴱⴹⴰ	separate
ⵙⴱⴻⴷⵉ	Sepedi
ⵛⵜⴻⵎⴱⴻⵔ	september
ⴰⵎⵏⴰⴽⴻⵍ	sequence
ⴰⵎⴰⵣⵔⴰⵔ	series
ⵙ ⵜⵉⴷⴻⵜ	serious
ⵙ ⵜⵉⴷⴻⵜ	seriously
ⵇⴷⴻⵎ	serve
ⴰⵙⴻⵇⴷⴻⵛ	service
ⵜⵉⵎⵍⵉⵍⵉⵜ	session
ⵄⴻⵍ	set
ⵜⵓⴷⴷⵙⴰ	set up
ⴰⵖⵡⴰⵔ	setting
ⴰⵙⴻⴳⴳⴻⵎ	settle
ⵚⴰ	seven
ⵎⵔⴰⵡ ⴷ ⵚⵚⴰ	seventeen
ⵚⵚⴰ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	seventy
ⴰⵟⴰⵙ	several
ⵥⵥⴰⵢⴻⵏ	severe
ⴰⵙⴻⵍⴽⵉⵎ	sew
ⵙⵛ	sh
ⵜⵉⵍⵉ	shade
ⵜⵉⵍⵉ	shadow
ⵅⴻⵎⵎⵙⴻⵖ	shake
ⴰⴷ	shall
ⵓⵔ ⴷⵯⵢⴻⵣⵣⵉ	shallow
ⴰⵏⵥⵓⵍ	shame
ⵜⴰⵍⵖⴰ	shape
ⴰⵎⵓⵔ	share
ⵢⴻⵇⵇⵓⵔ	sharp
ⵏⴻⵜⵜⴰⵜ	she
ⵜⴻⵙεⴰ	she has
ⴷ ⵜⵉⴷⴻⵜ	she is
ⵍⵎⴻⵇⵙⵓⴷ	shed
ⵉⵣⵉⵎⴻⵔ	sheep
ⵜⵉⴼⴻⵔⵢⵉⵏ	sheet
ⵜⴰⵔⴻⴼⴼⵉⵜ	shelf
ⵜⴰⴽⴽⵓⵏⵜ	shell
ⵜⴰⵙⴻⴷⴷⴰⵔⵉⵜ	shelter
ⴰⵙⴻⴳⴷⴻⵍ	shield
ⵉⴱⴻⴷⴷⴻⵍ	shift
ⴰⴼⴻǧǧⴻǧ	shine
ⵍⴱⴰⴱⵓⵔ	ship
ⴰⵙⴻⵔⴻⴼ	shipping
ⵜⵜⵔⵉⴽⵓ	shirt
ⵉⵙⴻⴱⴱⴰⴹⴻⵏ	shoes
ⵇⴻⵔⵔⴻⵙ	shoot
ⵜⴰⵃⴰⵏⵓⵜ	shop
ⴰⴷ ⵢⴻⵇⴹⵓ	shopping
ⵜⴻⴼⵙⵉⵔⵜ	shore
ⵡⴻⵣⵣⵉⵍ	short
ⵍⴻⵅⵚⴰⵚ	shortage
ⵇⴻⵔⵔⵙⴻⴹ ⵙ ⵓⴱⴻⵛⴽⵉⴹ	shot
ⵢⴻⵙⵙⴻⴼⴽ	should
ⵜⵓⵢⴰⵜ	shoulder
ⵍⴻⵄⵢⴰⴹ	shout
ⵢⴻⵎⵍⴰⵯⵉⵢⵉⵯⴷ	show
ⵙⴽⴻⵏⵯⵉⵢⵉⵯⴷ	show me
ⵜⴰⵛⵓⵛⴰⴼⵜ	shower
ⵍⵇⴻⵎⵕⵓⵏ	shrimp
ⴰⵙⵓⴷⴷⴻⵙ	shrink
ⵎⴷⴻⵍ	shut
ⵙⵙⵓⵙⴻⵎ	shut up
ⵢⵙⴻⵜⵃⴰ	shy
ⴰⵜⵎⴰⵜⴻⵏ	sibling
ⴰⵜⵎⴰⵜⴻⵏ	siblings
ⵢⵓⴹⴻⵏ	sick
ⵓⴷⴻⵎ	side
ⵏⵏⴻⵀⵜⴰ	sigh
ⵜⵎⵓⵖⵍⵉ	sight
ⴰⵙⴰⴽⴰⵛ	sightseeing
ⴰⵣⴰⵎⵓⵍ	sign
ⴰⵣⵎⴰⵍ	signature
ⵢⴻⵜⵜⴱⴰⵏ	significant
ⵜⴰⵙⵓⵙⴻⵎⵉ	silence
ⵜⴰⵙⵓⵙⵎⵉ	silent
ⴰⵃⵔⵉⵔ	silk
ⴷ ⴰⵎⴻⵀⴱⵓⵍ	silly
ⴰⵥⵔⴻⴼ	silver
ⴰⵎ ⵡⴰ	similar
ⴰⴼⵔⴰⵔⴰⵢ	simp
ⵉⵙⴻⵍⵀⴻⵏ	simple
ⵙ ⵜⴷⵓⴽⵍⵉ	simultaneously
ⵙⴻⴳ ⵡⴰⵙⴻⵎⵉ	since
ⵙ ⵡⵓⵍ ⵢⴻⵚⴼⴰⵏ	sincere
ⵙ ⵡⵓⵍ ⵢⴻⵚⴼⴰⵏ	sincerely
ⵛⵏⵓ	sing
ⴰⵛⴻⵏⴰⵢ	singer
ⵢⵉⵡⴻⵏ	single
ⵉⵣⴻⴷⴷⴻⵔ	sink
ⵎⴰⵙⵙ	Sir
ⵓⵍⴻⵜⵎⴰ	sister
ⵢⴻⵍⵍⵉⵙ ⵓⴷⴻⴳⴳⴰⵍ	sister in law
ⵇⵇⵉⵎ	sit
ⴰⵎⴽⴰⵏ	site
ⵜⴰⵍⵖⴰ	situation
ⵙⴹⵉⵙ	six
ⵎⵔⴰⵡ ⴷ ⵙⴹⵉⵙ	sixteen
ⵙⴹⵉⵙ ⵏ ⵜⵎⴻⵔⵡⵉⵏ	sixty
ⴰⵛⵃⴰⵍ ⴰⵢ ⵜⴻⵜⵜⵍⵓⵙⵓⴹ	size
ⴰⵥⵡⴰⵔ	skill
ⵜⵉⵣⴻⵎⵔⵉⵏ	skills
ⴰⴳⵍⵉⵎ	skin
ⵢⴻⴹⵄⴻⴼ	skinny
ⴰⵙⴳⴻⵜ	skip
ⵜⴰⵛⵓⵛⵜ	skirt
ⵉⴳⴻⵏⵏⵉ	sky
ⴰⵇⴻⴷⴷⴰⵛ	slave
ⵉⴳⴻⵏ	sleep
ⵉⴹⴻⵙ	sleeping
ⵢⴻⵙⴳⴰⵏⴰⵢ	sleepy
ⵉⴼⴰⵙⵙⴻⵏ	sleeve
ⴳⵣⴻⵎ	slice
ⴰⵃⴻⵔⵔⵉⴼ	slice
ⵓⵛⵛⵓⴹ	slide
ⵛⵡⵉⵟ	slightly
ⵜⴻⴹⵄⴻⴼ	slim
ⵛⵛⴹⴻⵖ	slip
ⵜⴰⵙⴰⵡⴻⵏⵜ	slope
ⴰⴱⵔⵓⵊ	slot
ⵙ ⵜⵜⴰⵡⵉⵍ	slow
ⵙ ⵜⵜⴰⵡⵉⵍ	slowly
ⵎⴻⵞⵜⵓⵃ	small
ⵓⵃⵔⵉⵛ	smart
ⵙⵙⵏⴰⵏ	smell
ⵣⵎⵓⵎⵎⴻⴳ	smile
ⴰⵡⵡⵓ	smoke
ⵢⴻⴳⵙⵓⵙ	smooth
ⵜⴰⵏⴰⵍⵜ	snack
ⴰⵊⴻⵖⵍⴰⵍ	snail
ⴰⵣⵔⴻⵎ	snake
ⵙⵟⴻⵔⴹⵇⴻⵖ	snap
ⴰⴷⴼⴻⵍ	snow
ⵉⵀⵉ	so
ⴷ ⴰⵢⴻⵏ ⵉⵛⴻⴱⵃⴻⵏ	so cute
ⴰⵔ ⵜⵓⵔⴰ	so far
ⵙⴻⵍⵅⴻⵙ	soak
ⵚⵚⴰⴱⵓⵏ	soap
ⵜⴻⵙεⴰ ⵜⴰⵣⵎⴻⵔⵜ	sober
ⵜⴰⴽⵓⵔⵜ ⵏ ⵓⴹⴰⵔ	soccer
ⵜⵎⴻⵜⵜⵉ	social
ⵜⵎⴻⵜⵜⵉ	society
ⵉⵇⴰⵛⵉⵔⴻⵏ	socks
ⴰⵍⴻⵇⵇⴰⵇ	soft
ⴰⵙⴻⵖⵥⴰⵏ	software
ⴰⴽⴰⵍ	soil
ⵢⴻⵣⵣⴻⵏⵣ	sold
ⵢⴻⵏⵣⴰ	sold out
ⴰⵙⴻⵔⴷⴰⵙ	soldier
ⵉⵎⴰⵏ	sole
ⴰⵏⴰⵣⴱⴰⵢ	solid
ⵜⵉⴼⵔⴰⵜ	solution
ⴼⵔⵓ	solve
ⴽⵔⴰ	some
ⵃⴻⴷ	somebody
ⵙ ⴽⵔⴰ ⵏ ⵜⴰⵔⵔⴰⵢⵜ	somehow
ⵢⵉⵡⴻⵏ	someone
ⴽⵔⴰ	something
ⵜⵉⵙⵡⵉⵄⵉⵏ	sometimes
ⵜⵉⵣⵍⵉⵜ	song
ⵇⵔⵉⴱ	soon
ⵢⴻⵙⵄⴰⵏ ⵜⵉⵣⵎⵎⴰⵔ	sophisticated
ⵙⵓⵔⴰⵏⵉ	Sorani
ⴷⵉⵔ	sore
ⵢⵓⴹⴻⵏ ⵜⴰⵖⴻⵛⵜⵯⵏⵏⴻⵙ	sore throat
ⵍⴻⵃⵣⴻⵏ	sorrow
ⵙⵓⵔⴻⴼⵯⵉⵢⵉ	Sorry
ⵚⵚⴻⵏⴼ	sort
ⵢⴻⵜⵜⵏⴰⴷⵉⵏ	sought
ⵜⴰⵔⵡⵉⵃⵜ	soul
ⵜⴰⵎⴻⴷⴷⵓⵔⵜ ⵏ ⵜⴻⵔⵡⵉⵃ	soulmate
ⵜⴰⵖⴻⵛⵜ	sound
ⴰⵙⴻⵇⵇⵉ	soup
ⵜⴻⵙⵎⴻⵎ	sour
ⴰⵖⴱⴰⵍⵓ	source
ⴰⵏⵥⵓⵍ	south
ⵍⵉⵜⵙⴻⵄ	space
ⴰⵙⴻⵍⴽⵉⵎ	spam
ⴰⴳⴳⴰⵢ	span
ⵍⵉⵙⵒⴰⵏ	Spanish
ⵓⴼⴼⴻⵔ	spare
ⵎⵎⴻⵙⵍⴰⵢ	speak
ⴰⵎⴰⵢⵏⵓⵜ	special
ⵙⴻⵔⴼ	species
ⴷ ⵜⵉⵏ ⵏ	specific
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	spectacular
ⴰⵡⴰⵍ	speech
ⵢⴻⴳⵓⴳⴻⵎ	speechless
ⵍⴻⵎⵖⴰⵡⵍⴰ	speed
ⴰⵎⴻⵙⵍⴰⵢ	spell
ⵢⴻⵙⵙⵣⵅⴷⴰⵎⴻⵏ	spend
ⵢⵙⴻⵔⵔⴻⴼ	spent
ⴰⵇⴻⵔⵃⴰⵏ	spicy
ⵜⴰⵙⴱⵓⵍⵜ	spike
ⵜⵜⴻⵍⵎⴻⵖ	spin
ⵜⵉⴱⵉⴷⴻⵙⵜ	spinach
ⵜⴰⵕⵡⵉⵃⵜ	spirit
ⵙⵓⵙⴻⴼ	spit
ⵢⴻⵙⵡⴻⵀⴰⵎⴻⵏ	splendid
ⵎⵙⴻⴱⴹⴰⵏ	split
ⵉⵅⴻⵚⵚⴻⵔ	spoil
ⵉⵅⴻⵚⵚⴻⵔ	spoiled
ⴷ ⵜⵉⵏ ⵓⵔ ⵏⴻⵜⵜⵡⴰⵃⵡⴰǧ	spontaneous
ⵜⴰⵖⴻⵏⵊⴰⵢⵜ	spoon
ⴰⵎⴽⴰⵏ	spot
ⴰⵔⴳⴰⵣ	spouse
ⴰⵎⵢⴰⴳ	spread
ⵜⴰⴼⵙⵓⵜ	spring
ⴰⵎⴽⵓⵥ	square
ⴰⴷ ⵥⵥⵎⴻⵖ	squeeze
ⴰⵇⴻⵔⵏⵉⴹ	squid
ⴰⵏⵥⵉⴷ	squirrel
ⴰⴳⴻⵔⵔⴰⵎ	st
ⵙⴻⵏⵜⵓ	stab
ⵉⵎⵏⴻⴽⴰⵢⴻⵏ	stable
ⴰⴳⵓⴷⵉ	stack
ⵜⴰⵔⴱⴰⵄⵜ	staff
ⴰⵙⵓⵔⵉⴼ	stage
ⴰⵛⴰⵎⵉⴹ	stain
ⵉⵙⵓⵏⴰⵏ	stairs
ⵜⴳⴻⵊⴷⵉⵜ	stake
ⴰⴳⴻⵟⵟⵓⵎ	stalk
ⴰⵙⴻⵏⵙⴻⵔ	stall
ⴰⵖⴹⴻⵎ	stamp
ⴰⵜⴻⴳ	stand
ⴰⵎⵙⵍⵓⴳⴰⵏ	standard
ⵉⵜⵔⵉ	star
ⴱⴷⵓ	start
ⵢⴻⴱⴷⴰ	started
ⵍⴰⵥ	starving
ⴰⴷⴷⴰⴷ	state
ⵉⵡⵓⵏⴰⴽ	state
ⵙⴽⴻⵏ	state
ⴰⵀⴻⵏⵏⴰ	statement
ⵜⴻⵖⵙⴻⵔⵜ	station
ⴰⵙⴻⴱⴷⴰⴷ	statue
ⵜⴰⵍⵖⴰ	status
ⵇⵇⵉⵎ	stay
ⵃⴰⴷⴻⵔ ⵉⵎⴰⵏⵯⵉⴽ	stay safe
ⵜⴻⵔⴽⵉⴷ	steady
ⴱⵉⴼⵜⴰⴽ	steak
ⵢⵓⴽⴻⵔ	steal
ⴷⴻⵅⵅⴰⵏ	steam
ⴷⴽⵉⵔ	steel
ⵢⴳⴰⵏ	steep
ⵍⴻⵊⴷⵔⴰ	stem
ⴰⵙⵓⵔⵉⴼ	step
ⵄⴻⵍⵍⴻⵇ	stick
ⵢⴻⵇⵇⵓⵔ	stiff
ⵎⴰⵣⴰⵍ	still
ⵢⴻⵔⵙⴰ	still
ⵜⵓⵇⵙⴰ	sting
ⴰⵎⴻⵛⵃⴰⵃ	stingy
ⵙⴻⵏⵀⴻⵣ	stir
ⵍⵄⴻⵡⵍⴰ	stock
ⵢⴻⵜⵡⴰⴽⴻⵔⵯⴷ	stolen
ⴰⵄⴻⴱⴱⵓⴹ	stomach
ⴰⴱⵍⴰⵟ	stone
ⵉⴱⴻⴷⴷ	stood
ⵜⴰⴱⴻⵔⴷⵓεⵜ	stool
ⵃⴻⴱⵙⴻⵜ	stop
ⴰⵙⴻⵅⵣⴻⵏ	storage
ⵜⴰⵃⴰⵏⵓⵜ	store
ⴰⴹⵓ	storm
ⵜⴰⵎεⴰⵢⴻⵜ	story
ⵍⴽⴰⵏⵓⵏ.	stove
ⵙⵔⵉⴷ	straight
ⵙⵔⵉⴷ	straightforward
ⵙ ⵢⵉⵖⵉⵍ	strain
ⴰⴱⴻⵕⵕⴰⵏⵉ	strange
ⴰⴱⴻⵕⵕⴰⵏⵉ	stranger
ⵜⴰⵙⵓⴷⴻⵙⵜ	strategy
ⴰⵍⵉⵎ	straw
ⵜⵉⵎⴻⵔⵣⵉⵡⵜ	strawberry
ⴰⴼⴻⵔⵔⵓⴳ	streak
ⴰⴼⴻⴳⴳⴹ	stream
ⴰⴱⵔⵉⴷ	street
ⵍⴻⴳⴳⴷⴻⵔ	strength
ⵢⴻⵜⵇⴻⵍⵍⴻⵇ	stress
ⵙⴻⵖⵣⴻⴼ	stretch
ⵜⴻⵙⵙⴻⵃⵔⴰⵙ	strict
ⴰⵎⴻⵏⵏⵓⵖ	strike
ⴰⵎⵔⴰⵔ	string
ⴰⴽⴻⵔⵣⵉ	strip
ⵜⴻⵜⵜⴻⴳ	strive
ⵜⴰⵣⵖⵉⵏⵜ	stroke
ⵢⴻⴵⵀⴻⴷ	strong
ⵜⵡⴻⵜⵯⵉⵜⵜ	struck
ⵍⴻⴱⵏⴰⵢⴰⵏ	structure
ⵢⴻⵏⵏⵓⵖ	struggle
ⵢⴻⵜⵏⴰⵖ	struggling
ⵢⴻⵜⵄⴰⵏⴰⴷ	stubborn
ⵢⴻⵍⵙⴻⵇ	stuck
ⴰⵏⴻⵍⵎⴰⴷ	student
P ⵙⴻⴱⵔⵓⵔⴻⵣ	study
ⵍⴻⵇⵔⴰⵢⴰ	studying
ⵍⴻⵃⴰⴵⴰ	stuff
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	stunning
ⴰⵄⴻⴳⴳⵓⵏ	stupid
ⴰⵖⴰⵏⵉⴱ	style
ⴰⵙⵙⴰⴽⴰ	subject
ⴰⵙⴻⴽⵛⴻⵎ	submission
ⴰⵙⴻⴱⵜⴻⵔ	submit
ⴰⵙⴳⴻⵜ	substance
ⴰⵙⴱⴷⴻⵍ	substitute
ⴷ ⵜⵉⴼⴻⵔⴽⵉⵡⵉⵏ	subtle
ⵢⴻⵔⴱⴻⵃ	succeed
ⵔⵔⴱⴻⵃ	success
ⵔⴱⴻⵃ	successful
ⴰⵎ	such
ⴰⵎ	such as
ṭṭed	suck
ⵉⵎⵉⵔⴻⵏ	sudden
ⴷⴻⴳ ⵢⵉⵡⴻⵜ ⵏ ⵜⴻⵙⵡⵉⵄⵜ	suddenly
ⵜⵜⵃⵓⵣⴰⵏ	suffer
ⵢⴻⵏⵄⴻⵜⵜⴰⴱ	suffering
ⴷⴷⴻⴳⵙ	sufficient
ⵙⵙⴻⴽⴻⵕ	sugar
ⵙⵙⵓⵍⴻⵔ	suggest
ⵜⴰⴽⵜⵉ	suggestion
ⵢⴻⵍⵙ	suit
ⵢⴻⵙⵙⵣⴼⴽⴻⵏ	suitable
ⵜⴱⴰⵍⵉⵣⵜ	suitcase
ⵜⵉⵎⴻⵔⵏⵉ	sum
ⴰⴳⵣⵓⵍ	summary
ⴰⵏⴻⴱⴷⵓ	summer
ⵜⴰⵇⴻⵔⵔⵓⵢⴻⵜ	summit
ⵉⵟⵉⴳ	sun
ⴰⵛⴻⵔ	sunday
ⵉⵜⵉⵊ	sunny
ⴰⴼⵓⴷ ⵏ ⵢⵉⵟⵉⵊ	sunset
ⵜⴰⴼⵓⴽⵜ	sunshine
ⵢⴻⵍⵀⴰ	super
ⴰⵎⴻⵇⵇⵔⴰⵏ	superior
ⴰⵎεⴻⵍⵍⴻⵎ	supervisor
ⵢⴳⴻⵔⵔⴻⵣ	supper
ⵢⴻⵜⵜⴰⴽ	supply
ⴰⵍⵍⴻⵍ	support
ⴰⴷ ⴷⵯⵏⵉⵏⵉ	suppose
ⵉⵍⴰⵇ ⴰⴷ ⵢⵉⵍⵉ	supposed
ⵉⴱⴰⵏ	sure
ⵜⴰⵀⵔⵉ	surface
ⴰⴳⵍⴰⵢ	surge
ⵜⴰⵎⵣⴻⵍⵜ	surgery
ⵏⴻⴽⵡⴰ	surname
ⵖⴻⴼ ⵍⵖⴻⴼⵍⴰⵏ	surprise
ⵢⴻⵡⵀⴻⵎ	surprised
ⵙⴻⵍⵍⴻⵎ	surrender
ⵜⵓⵣⵢⴰ	surrounding
ⴰⵙⴻⴼⵇⴻⴷ	surveillance
ⵙⴽⴻⵢⴷⴻⵖ	survey
ⴰⴷ ⵢⵉⴷⵉⵔ	survive
ⵢⵛⵓⴽ	suspect
ⵢⴻⵜⵜⵡⴰⵃⴱⴻⵙ	suspended
ⵊⴻⵜⵜⵛⵉⴽⴽⵉ	suspicious
ⵙⴻⵀⴱⵉⴱⴻⵔ	sustain
ⴰⵙⵓⴷⴷⴻⵎ	sustainability
ⴷ ⴰⵢⴻⵏ ⵢⴻⵜⵜⵡⴰⵃⴻⵔⵣⴻⵏ	sustainable
ⴰⴳⵍⴰⴼ	swag
ⵉⵙⵙⴻⴱⵍⴻⵄ	swallow
ⴱⴻⴷⴷⴰⵍ	swap
ⵢⴻⴳⴳⵓⵍ	swear
ⵜⵉⴷⵉ	sweat
ⴰⵜⵔⵉⴽⵓ	sweater
ⴼⴻⵔⵔⴹⴻⵖ	sweep
ⵣⵉⴹ	sweet
ⵜⵉⵔⴳⴰ ⵍεⴰⵍⵉ	sweet dreams
ⵜⴰⵥⵉⴷⴰⵏⵜ	sweet tooth
ⴰⵢ ⴰⵃⴱⵉⴱ	sweetheart
ⴰⵙⴻⴼⵜⵉ	swell
ⵜⵉⵎⴻⵔⵏⵉⵡⵜ	swelling
ⵙⵓⵛⵛⴻⴼ	swim
ⵢⴻⵜⵄⵓⵎⵓ	swimming
ⴱⵍⴻⵍⵍⵉ	swing
ⴱⴻⴷⴷⴻⵍ	switch
ⵙⵙⵓⴼ	swollen
ⴰⵊⴻⵏⵡⵉ	sword
ⴰⵣⴰⵎⵓⵍ	symbol
ⵍⵖⵉⴹ	sympathy
ⴰⵙⴽⴻⵏ	symptoms
ⴰⵏⴰⴳⵔⴰⵡ	system
ⵜⴰⴷⴰⴱⵓⵜ	table
ⴰⵎⵓ	tackle
ⵜⵉⴱⵣⵉⵎⵉⵏ	tag
ⴰⵊⴻⵃⵏⵉⴹ	tail
ⴰⵡⵉ	take
ⴰţⵟⴻⴼ ⴰⴱⵔⵉⴷ	take away
ⵃⴰⴷⴻⵔ ⵉⵎⴰⵏⵯⵉⴽ	take care
ⴽⴽⴻⵙ	take off
ⵢⴻⵜⵜⵡⴰⴽⴽⴻⵙ	taken
ⵙⴰⵡⴻⵍ	talk
ⴰⵎⵙⵓⴳⴻⵜ	talkative
ⴽⴻⵎⵎⵉⵍ	tall
ⵜⴰⵎⴰⵣⵉⵖⵜ	Tamazight
ⵜⴰⵙⴰⴷⴻⵍⵜ	tap
ⴰⵔⴰⵜⵉⵎ	tap
ⴷⴷⴻⵙ	tap
ⴰⴽⴰⵍⴰⵙ	tape
ⵃⴻⴽⴽⴻⵔ	target
ⴰⵅⴻⴷⴷⵉⵎ	task
ⵄⴱⴻⵔ	taste
ⴱⵏⵉⵏ	tasty
ⵢⴻⵙⵙⴻⵍⵎⴰⴷ	taught
ⵍⴰⵜⴰⵢ	tea
ⴰⵙⴻⵍⵎⴻⴷ	teach
ⴰⵙⴻⵍⵎⴰⴷ	teacher
ⵜⴰⵔⴱⴰⵄⵜ	team
ⴰⴳⴻⵣⴰⵎ	tear
ⵉⵎⴻⵟⵟⴰⵡⴻⵏ	tears
ⴰⴷ ⵜⵯⵜⵛⴻⵖⵍⴻⴹⵍ	tease
ⵜⴻⴽⵏⵓⵙⵙⵏⴰ	technology
ⵜⵓⵖⵎⴰⵙ	teeth
ⵉⵏⵉⵯⴷ	tell
ⵉⵏⵉⵯⴷ	tell me
ţⴱⵉεⴰ	temper
ⵜⴰⵥⵖⴻⵍⵜ	temperature
ⵍⴻⵎⵇⴰⵎ	temple
ⴰⵎⴻⵜⵜⵉ	temporary
ⵎⵔⴰⵡ	ten
ⵎⵔⴰⵡ ⵏ ⵉⴳⵉⵎⴰⵏ	ten thousand
ⴰⴽⴻⵔⴰⵢ	tenant
ⵢⴻⵙⵄⴰⵏ	tend
ⵜⵉⵖⵓⵎⴷⵉⵏ	tendency
ⵍⴻⵃⵏⴰⵏⴰ	tender
ⵢⴻⵜⵇⴻⵍⵍⴻⵇ	tense
ⵍⵃⵉⵔ	tension
ⴰⵇⵉⴹⵓⵏ	tent
ⵜⴰⵡⵙⴻⵙⵜ	tentative
ⴰⵡⴰⵍ	term
ⵉⵎⴻⵙⵍⴰⵢⴻⵏ	terms
ⵢⴻⵙⵙⵣⵡⵀⴰⵎⴻⵏ	terrible
ⴰⵛⴻⴽⴽⵉⵜ	terrific
ⵜⴰⵎⵏⴰⴹⵜ	territory
ⵢⴻⵄⵔⴻⴹ	test
ⴰⴽⴰⵢⴰⴷ	test
ⴰⴹⵔⵉⵙ	text
ⵜⴰⵏⵢⴰ	than
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ	thank
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ	thank you
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⵖⴻⴼ ⵙⴱⴻⵔⵯⵏⵡⴻⵏ ⵙⴽⵓⴷ ⵏⴻⵜⵙⴻⵇⵙⴰⵢ ⵖⴻⴼ ⵜⵓⵍⵓⵙⵜⵯⵏⵏⵉ	Thank you for your patience while we investigate shipment
ⵜⴰⵏⵎⵉⵔⵜⵯⵉⴽ ⴰⵟⴰⵙ	thank you so much
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⴰⵟⴰⵙ	thank you very much
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ	thanks
ⵜⴰⵏⴻⵎⵎⵉⵔⵜ ⵉⵎⵉ ⵙⴻⵇⴷⴰⵛⴻⵜ ⴰⵙⵍⴰⵖⵯⵏⵏⴻⵖ	Thanks for using our app
ⵡⵉⵀⵉⵏ	that
ⴷ ⵡⴰ ⵉ ⴷ	that is
ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ	that's good
ⵜ	the
ⵜⵉⴽⵓⵔⴹⴰ	theft
ⵏⵯⵙⴻⵏ	their
ⴰⵙⴻⵏ	them
ⴰⵙⴻⵏⵜⴻⵍ	theme
ⵉⵎⴰⵏⵯⵏⵙⴻⵏ	themselves
ⵉⵀⵉ	then
ⴰⵙⴻⴽⴽⵓⴹ	theory
ⴷⵉⵏⵏⴰ	there
